CRD,Signal Type,Date,Description,Source URL
106806,news,2025-11,"Merged with Denver-based IWP Family Office to form a ~$10B+ AUA multi-family office of 90+ professionals across St. Louis, Denver, and Dallas-Fort Worth, ~140 UHNW families.",https://www.wealthmanagement.com/ria-news/family-offices-merge-to-create-10b-wealth-manager
106806,recent_investment,2025-11,"BW Forsyth Partners provided strategic evergreen capital backing the merger and future acquisitions; Katherine Lintz managing partner, IWP's Charlie Willhoit CEO.",https://www.themiddlemarket.com/latest-news/bw-forsyth-partners-backs-merger-of-matter-and-iwp-family-offices
107141,leadership_change,2026,"Portfolio manager Dylan C. Brix, CFA, CTFA was promoted to Partner (joined 2020).",https://www.bosfam.com/our-team/
143112,news,2025-09,Wellspring Financial Advisors rebranded as Wellspring Family Office to reflect its multigenerational-family model (~$6.5B client net worth).,https://www.businesswire.com/news/home/20250908149056/en/Wellspring-Financial-Advisors-Rebrands-as-Wellspring-Family-Office
143112,leadership_change,2025-09,The Pritzker Organization took a minority equity stake in a long-term strategic partnership; some Pritzker family members became clients.,https://www.businesswire.com/news/home/20250915684795/en/Wellspring-Family-Office-Announces-Strategic-Partnership-with-The-Pritzker-Organization
150748,recent_investment,2026-05,Opened a new ~$793K position in the Dimensional Short-Duration Fixed Income ETF (DFSD) in its latest 13F.,https://www.dailypolitical.com/2026/05/13/timonier-family-office-ltd-invests-793000-in-dimensional-short-duration-fixed-income-etf-dfsd.html
155003,leadership_change,2025-01,Andreas Arni (ex-Lombard Odier/Credit Suisse) took over as CEO and Managing Partner as long-serving CEO Martin Sutter moved to the board.,https://www.marcuardfamilyoffice.com/en/news/leadership-transition-at-marcuard-family-office
157511,growth,2025-07,Flagship pooled fund LMI Partners LLC reported cumulative capital raised rising ~$1.05B to ~$1.26B (~$210M net new inflows) in its latest SEC Form D/A.,https://www.sec.gov/Archives/edgar/data/1857121/000185712125000002/
159440,news,2026-06,Two TFO leaders earned dual recognition on AdvisorHub's 2026 '1000 Advisors to Watch' list (Over $1B category).,https://tfowealth.com/tfo-wealth-partners-earns-dual-recognition-on-advisorhubs-1000-advisors-to-watch-list/
159440,news,2025-07,Financial Advisor Magazine's 2025 RIA Survey ranked TFO the #2 largest RIA headquartered in Arizona.,https://tfofamilyoffice.com/award-accolade/
282750,news,2025-04,CEO David Savir and SVP Kristopher Martin appeared on the Family Business Magazine Podcast discussing family office structures.,https://www.elementpointe.com/press/
285035,news,2026-02,"Affiliated investment bank Class VI Partners represented Helimix in its acquisition by YETI, part of a 2025-2026 exit/M&A pipeline that channels newly-liquid business owners into the family office.",https://www.classvipartners.com/deal-announcements/
285035,recent_investment,2025-07,"Class VI Partners advised Electric Equipment & Engineering on its recapitalization by HKW Inc., one of several 2025 liquidity events from the affiliated deal practice.",https://www.classvipartners.com/deal-announcements/
296362,growth,2026-03,"Regulatory assets under management jumped ~185% year-over-year to $14.4B, per its latest Form ADV.",https://adv.news/firm/296362
296362,news,2025-12,Named to AdvisorHub's inaugural '50 RIA Firms to Watch' 2026 list.,https://fintrx.com/firms/firm/pine-ridge-advisers-llc-296362
312154,growth,2024-08,Newly formed Plano firm registered with the SEC as an independent family office managing ~$144M.,https://adviserinfo.sec.gov/firm/summary/312154
326990,news,2026-02,CEO Kathleen Grace named to Forbes/SHOOK Top Women Wealth Advisors Best-In-State list for 2026.,https://www.forbes.com/profile/kathleen-grace/
326990,growth,2024-12,Boca Raton RIA led by ex-Goldman Sachs exec Kathleen Grace announced plans to acquire small women-led wealth practices from retiring female executives in South Florida.,https://citywire.com/ria/news/this-florida-ria-startup-wants-to-buy-women-led-wealth-practices/a2456496
334002,growth,2025-03,"MFO officially launched, founded by Andrew Crofton and Scott Essex with a six-person owner-partner team; offices in New York, Chicago, West Palm Beach, San Francisco.",https://www.businesswire.com/news/home/20250311297977/en/New-Wealth-Management-Firm-Five-Eleven-Partners-Launches-to-Redefine-the-Family-Office-Experience
335152,news,2025-04,"Registered with the SEC (2025-04-28), formalizing its transition from the Ballast Point principals' single-family office into a registered multi-family office serving select outside families.",https://adviserinfo.sec.gov/firm/summary/335152
335152,leadership_change,2025-03,"Dan White launched Sestante as Co-Founder/Managing Partner/CCO in early 2025, moving over from CIO of affiliated Sestante Capital Advisors.",http://sestante.com/wp-content/files/ADV-Part-2B-2025-Dan.pdf
338015,news,2026-03,Tom Ruggie named to the InvestmentNews 2026 Top Financial Professionals list (100 leading US advisors).,https://www.prnewswire.com/news-releases/thomas-ruggie-named-among-the-investmentnews-2026-top-financial-professionals-302707748.html
338015,news,2025-04,Founder/CEO Tom Ruggie named an InvestmentNews Advisor of the Year awardee for Alternative Investments.,https://destinyfamilyoffice.com/tom-ruggie-named-investmentnews-advisor-of-the-year-alternative-investments-awardee/
338122,news,2025-08,"Launched as a newly SEC-registered RIA (Georgia entity formed 2025-08-20) under CEO Michael Callahan, serving families below single-family-office scale (~$189M AUM).",https://adviserinfo.sec.gov/firm/summary/338122
338563,growth,2026-03,"Amended its Form D offering to $6,500,000 combined equity and debt as it scales its private-markets platform.",https://www.formds.com/issuers/pointone-family-office-llc
338563,growth,2025-12,"Filed a Reg D (Form D) raise of $1,000,000 in debt, signaling early capital formation shortly after launch.",https://www.formds.com/issuers/pointone-family-office-llc
338563,news,2025-11,"Launched as a newly SEC-registered boutique multi-family office (~$327M AUM), $10M account minimum.",https://adviserinfo.sec.gov/firm/summary/338563
